band,roi,class_a,class_b,n_subjects,mean_difference_db,ci95_low_db,ci95_high_db,wilcoxon_statistic,p_value,rank_biserial,holm_p_value,significant_0_05
mu,left_motor,rest,left_fist_imagery,76,1.0449012491762233,0.7601210484515785,1.330524866508113,314.0,2.701514433682338e-09,0.7853725222146275,1.350757216841169e-08,True
mu,left_motor,rest,right_fist_imagery,76,1.4834935838330328,1.1275824273224662,1.8517773215257225,210.0,8.743296502946288e-11,0.8564593301435407,5.245977901767773e-10,True
mu,left_motor,rest,both_feet_imagery,76,0.3205028258130702,0.028136555593162103,0.6104065903169591,1044.0,0.030059099152290623,0.2863978127136022,0.030059099152290623,True
mu,left_motor,left_fist_imagery,right_fist_imagery,76,0.43859233465680963,0.20332041862407377,0.7130220860405719,816.0,0.0008088535716339296,0.44224196855775805,0.0016177071432678593,True
mu,left_motor,left_fist_imagery,both_feet_imagery,76,-0.724398423363153,-1.0996414350008528,-0.35926038494362617,746.0,0.00020549651185615116,-0.49008885850991113,0.0006164895355684535,True
mu,left_motor,right_fist_imagery,both_feet_imagery,76,-1.1629907580199628,-1.5856000102670844,-0.7736414099814214,441.0,1.2148024631947845e-07,-0.6985645933014354,4.859209852779138e-07,True
mu,midline_motor,rest,left_fist_imagery,76,0.977648214258621,0.7060051315512247,1.2601282195471557,260.0,4.713573692304938e-10,0.8222829801777171,2.356786846152469e-09,True
mu,midline_motor,rest,right_fist_imagery,76,0.9369828644504734,0.7091170402787643,1.1718266177504852,250.0,3.3829275558074246e-10,0.8291182501708817,2.0297565334844548e-09,True
mu,midline_motor,rest,both_feet_imagery,76,0.7009199571086618,0.40901299337821345,1.013316715722271,696.0,7.156272379108919e-05,0.5242652084757348,0.00028625089516435675,True
mu,midline_motor,left_fist_imagery,right_fist_imagery,76,-0.0406653498081477,-0.19928396379349597,0.12907730649423,1380.0,0.6673991372401701,-0.05673274094326726,0.6673991372401701,False
mu,midline_motor,left_fist_imagery,both_feet_imagery,76,-0.27672825714995924,-0.5329878774053903,-0.024697605262524763,1078.0,0.04623071127889249,-0.2631578947368421,0.13869213383667747,False
mu,midline_motor,right_fist_imagery,both_feet_imagery,76,-0.23606290734181157,-0.49428418536221025,0.02730633202469823,1105.0,0.06381183661122826,-0.24470266575529734,0.13869213383667747,False
mu,right_motor,rest,left_fist_imagery,76,1.5434959478806778,1.2158878877195294,1.9208137674596324,125.0,4.2895489697699465e-12,0.9145591250854409,2.573729381861968e-11,True
mu,right_motor,rest,right_fist_imagery,76,0.863670055839142,0.5882553391709978,1.1333627471046233,363.0,1.2330837318828129e-08,0.7518796992481203,6.165418659414064e-08,True
mu,right_motor,rest,both_feet_imagery,76,0.25688295092878866,-0.04774466409399287,0.5585717092365363,1116.0,0.0724084599662015,0.23718386876281614,0.0724084599662015,False
mu,right_motor,left_fist_imagery,right_fist_imagery,76,-0.6798258920415358,-0.9754067485312679,-0.41821549524961577,614.0,1.10481235452864e-05,-0.5803144224196856,3.31443706358592e-05,True
mu,right_motor,left_fist_imagery,both_feet_imagery,76,-1.2866129969518891,-1.737773747758608,-0.8765978153862086,420.0,6.664877108725962e-08,-0.7129186602870813,2.665950843490385e-07,True
mu,right_motor,right_fist_imagery,both_feet_imagery,76,-0.6067871049103534,-0.9029695551862447,-0.3081983307526174,811.0,0.0007364583976088073,-0.4456596035543404,0.0014729167952176145,True
